"Date","Price","Open","High","Low","Vol.","Change %"
"21-01-2025","21,433.20","21,855.10","21,863.05","21,411.30","2.33B","-1.72%"
"20-01-2025","21,809.00","21,769.95","21,848.95","21,628.50","3.51B","0.59%"
"17-01-2025","21,680.25","21,699.45","21,730.85","21,563.80","2.01B","-0.16%"
"16-01-2025","21,714.55","21,734.40","21,776.35","21,687.45","2.24B","0.76%"
"15-01-2025","21,551.20","21,572.45","21,634.60","21,445.40","3.09B","0.33%"
"14-01-2025","21,481.05","21,328.00","21,528.70","21,325.00","2.55B","1.12%"
"13-01-2025","21,243.45","21,557.00","21,630.55","21,194.45","2.61B","-2.55%"
"10-01-2025","21,799.00","22,049.40","22,075.40","21,738.45","1.97B","-1.12%"
"09-01-2025","22,046.55","22,231.05","22,239.20","22,028.50","1.69B","-0.83%"
"08-01-2025","22,231.80","22,378.15","22,384.25","22,065.20","1.90B","-0.49%"
"07-01-2025","22,341.65","22,278.15","22,435.50","22,247.75","1.93B","0.52%"
"06-01-2025","22,225.40","22,753.65","22,757.40","22,163.55","2.50B","-2.13%"
"03-01-2025","22,708.15","22,850.10","22,867.85","22,681.30","2.20B","-0.49%"
"02-01-2025","22,819.75","22,521.75","22,833.35","22,482.70","1.85B","1.50%"
"01-01-2025","22,481.80","22,375.85","22,518.70","22,313.75","1.47B","0.48%"
"31-12-2024","22,375.40","22,273.70","22,414.45","22,160.15","2.07B","0.08%"
"30-12-2024","22,357.15","22,438.15","22,522.40","22,266.15","3.00B","-0.39%"
"27-12-2024","22,445.20","22,473.90","22,555.45","22,435.55","1.17B","0.07%"
"26-12-2024","22,430.35","22,444.70","22,492.30","22,324.60","1.42B","0.12%"
"24-12-2024","22,402.70","22,431.60","22,516.30","22,340.10","1.35B","-0.04%"
"23-12-2024","22,412.30","22,446.60","22,535.20","22,331.50","1.58B","0.42%"
"20-12-2024","22,319.40","22,783.65","22,855.00","22,279.90","2.58B","-1.90%"
"19-12-2024","22,752.15","22,594.95","22,782.25","22,590.00","1.72B","-0.79%"
"18-12-2024","22,934.40","23,076.95","23,125.55","22,876.70","1.78B","-0.70%"
"17-12-2024","23,095.75","23,308.90","23,349.10","23,067.30","1.92B","-1.10%"
"16-12-2024","23,352.45","23,370.55","23,417.65","23,281.20","1.49B","-0.03%"
"13-12-2024","23,358.95","23,208.35","23,378.55","22,879.90","2.15B","0.44%"
"12-12-2024","23,256.40","23,348.70","23,386.25","23,242.75","1.96B","-0.44%"
"11-12-2024","23,358.15","23,326.70","23,394.20","23,301.15","1.76B","0.19%"
"10-12-2024","23,314.90","23,328.80","23,341.35","23,216.25","2.17B","0.10%"
"09-12-2024","23,292.00","23,289.40","23,351.90","23,243.30","2.28B","-0.09%"
"06-12-2024","23,312.10","23,315.80","23,358.20","23,221.70","2.47B","0.15%"
"05-12-2024","23,277.95","23,183.30","23,357.10","22,993.85","2.79B","0.77%"
"04-12-2024","23,099.50","23,075.95","23,149.90","22,978.85","2.70B","0.34%"
"03-12-2024","23,020.85","22,922.60","23,029.55","22,876.80","2.17B","0.81%"
"02-12-2024","22,835.85","22,695.40","22,843.50","22,603.10","1.83B","0.66%"
"29-11-2024","22,687.00","22,537.80","22,733.75","22,531.90","2.47B","0.77%"
"28-11-2024","22,514.35","22,722.30","22,821.75","22,472.25","3.03B","-0.78%"
"27-11-2024","22,691.70","22,594.20","22,732.10","22,526.10","2.78B","0.57%"
"26-11-2024","22,562.45","22,649.30","22,675.70","22,523.00","3.25B","0.04%"
"25-11-2024","22,553.50","22,578.65","22,676.25","22,510.80","3.71B","1.48%"
"22-11-2024","22,225.55","21,864.65","22,260.15","21,819.20","2.30B","1.85%"
"21-11-2024","21,820.85","21,947.75","21,954.20","21,692.80","2.64B","-0.83%"
"19-11-2024","22,004.35","21,977.65","22,233.40","21,948.45","1.90B","0.48%"
"18-11-2024","21,899.40","22,045.90","22,049.15","21,787.35","2.06B","-0.29%"
"14-11-2024","21,963.10","21,924.10","22,096.85","21,907.55","1.91B","0.22%"
"13-11-2024","21,914.95","22,263.00","22,309.80","21,867.70","2.33B","-1.86%"
"12-11-2024","22,331.05","22,664.20","22,721.90","22,286.85","1.71B","-1.15%"
